id,count,username,text
1542891561276641280,184,AKoralia,"Αποφυλακίζεται ο #Φιλιππιδης με περιοριστικούς όρους και απαγόρευση εξόδου του από την χώρα. 
Οι γυναίκες που βίασε και παρενόχλησε, βιάστηκαν για άλλη μια φορά σήμερα 1η Ιουλίου 2022 από την ελληνική δικαιοσύνη. Αίσχος!
#metooGR
#MeToo"
1543116364843466752,53,euoukos,Αυτό ακριβώς 👇👇👇#Φιλιππίδης #Λιγναδης #MeToo #metooGR https://t.co/qamEJN22TG
1542882838923575299,32,NorMaLe47268991,"Από τις αντιδράσεις όσων είναι #με_την_Γεωργια για το σημερινό βούλευμα, ενώ ΚΑΝΕΝΑΣ απ' αυτούς δεν είχε αντιδράσει για την αθώωση του συριζαίου ηθοποιού #Λάμπρου_Φιλίππου, την περασμένη βδομάδα, για τον βιασμό ανήλικης, είναι πλέον ΞΕΚΑΘΑΡΟ ότι το #MeTooGR έχει πολιτικά κίνητρα."
1543050274608128000,32,madam_shou,"Πως πρέπει να μοιάζεις εξωτερικά για να καταλάβουν κάποιοι πως εσύ είσαι το θύμα όταν σε δέρνουν, όταν σε βιάζουν ή όταν σε σκοτώνουν;
#metooGR 
#Αδαμαντίδης https://t.co/VTNfED3CVd"
1542900356790845442,30,Covid19energoi,"Η εξουσία αγκαλιάζει τα παιδιά της
Απαλλακτικό βούλευμα για τον Βασίλη Λεβέντη, έξω με περιοριστικούς όρους ο #Φιλιππιδης 
Ένα τεράστιο ''μα γιατί δεν καταγγέλλουν;;'' πλανάται πάνω από τη χώρα...
#με_την_Γεωργια #metooGR"
1542035466618273793,21,kefoke81,"Έχετε μπει λυτοι και δεμένοι να βγάλετε τους ανθρώπους που καταγγέλλουν παιδεραστίες και βιασμούς και αυτούς που τους υπερασπίζονται ότι είναι φασίστες
Γαμω το σπίτι σας
#MeToo
#metooGR
#Λιγναδης
#παιδεραστια
https://t.co/cTa20lvPvo"
1542197515226959874,20,tsutsumber,#metoo #metoogr #βιασμος https://t.co/X7r4Rb9tqV
1542274097157120001,20,Taras_Boulba3,"Ο παρακάτω γύφτος ""τράπερ"" συνελήφθη για τον βιασμό 16χρονης(!) στην Θεσσαλονίκη. Να τους χαίρεστε...
#Cancel_trappers #metooGR #metoo https://t.co/9iVAPOPGDT"
1543491065772183553,18,LittleBeee5,"Όταν βλέπετε έναν άνθρωπο να ξημερωβραδιαζεται σε φρουτάκια, τζόγο κτλ. ΔΕΝ είναι ο άντρα της ζωής σας. ΟΥΤΕ θα τον σώσετε. Θα σας τραβήξει στον πάτο του και πιθανόν να μην ανεβείτε ποτέ ξανά.  #θεμης_αδαμαντιδης #xamogelakaipali  #MeToo #metooGR"
1541450259703939073,17,xanthoklis,"#Λιγναδης #metooGr
Δεν ήταν δροσιά, ήταν βιασμός. Δεν ήταν νεαρά άτομα ήταν ανήλικα αγόρια. https://t.co/roWUsYUTae"
1542937581272416256,16,parameteoros,"Φεμινιστικές &amp; queer συλλογικότητες καλούν σε πανελλαδική μέρα δράσης για τη δικαίωση των επιζώντων του #Λιγνάδης

Δευτέρα 4/7 
19.30 στο Σύνταγμα // Συγκέντρωση &amp; Πορεία 
#metooGR https://t.co/tYkxGvX6ph"
1542890521588371458,15,xenosaxironas,"Ακούσατε ακουσατε...
Ανώμαλος βιαστής ηθοποιός κυκλοφορεί ελεύθερος μέχρι να βγει η απόφαση...

Φωνάξτε το όλοι να το μάθουν όπως λέει και ο Εισαγγελέας για τον #Φιλιππίδης έτσι ώστε να είναι ΥΠΟΨΙΑΣΜΕΝΟΙ...

#metoo 
#metooGR https://t.co/TGVflh07py"
1542862166944108544,14,VsPtrk,Φανταστείτε να πας να καταγγείλεις βιασμό 3 μέρες να περιμένεις να εξεταστείς  γιατί «είναι αργία» Και να σου κάνουν τις μισες εξετάσεις . Πριν μιλήσετε σκεφτείτε την μεταχείριση της από το ίδιο κρατος και πείτε μου αν αισθάνεστε ασφαλείς … #metoo #metoogr #με_την_Γεωργια https://t.co/StywtXOuMw
1542929100951756800,13,VsPtrk,"Έχετε λεφτά έχουμε φωνή με την Γεωργιά Μπίκα είμαστε μαζί 👊🏽 

#με_την_Γεωργια #metoo #metoogr #με_τη_Γεωργία https://t.co/MtPSCcNfl9"
1542846998251962368,13,fbdaounou,"Να την χαίρεστε την ""αδερφη"" σας. Ελπιζω να την κυνηγήσουν νομικά όλοι όσοι αθώοι έπαθαν κακό απο τα ελεεινά ψέματα της ""αδερφης"" σας. Και να δουμε αν θα ισχύει εκεί το ""καμια μόνη"" όταν ερθει η ωρα να τιμωρηθεί για την κτηνωδία της. #με_την_γεωργια #metooGR #MeToo"
1542927722619469824,11,Rebirth_wip_GR,"#με_την_Γεωργια 
#metoogr https://t.co/afZuSnzdfJ"
1542622368685821952,10,nisafi2008,"#ask_arkady #MeToo #metooGR 
Φρένο στη ΒΙΑ κατά των γυναικών!

Συγκέντρωση, Παρασκευή 1 Ιούλη 2022 - 9πμ, όλ@ στο Εφετείο για τη Ράνια!

Αθήνα, Κύριλλου Λουκάρεως - Αμπελόκηποι , 2ος όροφος, αίθουσα Δ 80 Β΄
https://t.co/eMUThMWYKE https://t.co/ZoPKOjl5ym"
1541469716329406465,9,xanthoklis,"#Λιγναδης #metooGr
Αλαζόνας, αμετανόητος βιαστής.Δεν τον ένοιαζε να ρωτήσει αν ήταν ανήλικα αγόρια. Τι πιο σύνηθες; Ο Λιγνάδης είναι επικίνδυνος για την κοινωνία μας. Δεν πρόκειται να σταματήσει ποτέ να αναζητά ευάλωτα θύματα+ να βιάζει. https://t.co/rWERLA8i3K"
1543547267285647362,9,millisecPulsar,"Η γυναίκα του Αδαμαντίδη είναι μάλλον φασίστρια και άρα της ασκούσε δικαιολογημένη βία. 

#metooGR #ΣΥΡΙΖΑ_ξεφτιλες #συριζα_πολιτικα_πτωματα #ΣΥΡΙΖΑ #antireport"
1485960144643104773,9,,
